"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 00:00","2025","03","01","00:00","","3.8","","1.4","","85","","","","25","","25","","24.1","","97.10","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 01:00","2025","03","01","01:00","","3.6","","2.0","","89","","","","24","","25","","24.1","","97.10","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 02:00","2025","03","01","02:00","","3.0","","-1.2","","74","","","","28","","39","","24.1","","97.16","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 03:00","2025","03","01","03:00","","1.1","","-3.2","","73","","","","29","","49","","24.1","","97.28","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 04:00","2025","03","01","04:00","","-1.9","","-6.2","","73","","","","30","","43","","24.1","","97.50","","","","-10","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 05:00","2025","03","01","05:00","","-4.3","","-9.1","","70","","","","29","","43","","24.1","","97.69","","","","-13","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 06:00","2025","03","01","06:00","","-5.8","","-11.9","","62","","","","29","","48","","24.1","","97.85","","","","-16","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 07:00","2025","03","01","07:00","","-7.2","","-13.5","","61","","","","29","","41","","24.1","","97.98","","","","-17","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 08:00","2025","03","01","08:00","","-7.8","","-14.4","","59","","","","30","","45","","24.1","","98.16","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 09:00","2025","03","01","09:00","","-7.8","","-14.1","","61","","","","29","","39","","24.1","","98.30","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 10:00","2025","03","01","10:00","","-7.9","","-15.0","","57","","","","31","","43","","24.1","","98.43","","","","-18","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 11:00","2025","03","01","11:00","","-8.0","","-15.9","","53","","","","30","","45","","24.1","","98.57","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 12:00","2025","03","01","12:00","","-7.4","","-14.8","","56","","","","31","","41","","24.1","","98.71","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 13:00","2025","03","01","13:00","","-7.5","","-15.4","","54","","","","30","","39","","24.1","","98.82","","","","-17","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 14:00","2025","03","01","14:00","","-7.3","","-15.6","","52","","","","30","","43","","24.1","","98.90","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 15:00","2025","03","01","15:00","","-7.3","","-15.4","","53","","","","30","","41","","24.1","","99.04","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 16:00","2025","03","01","16:00","","-8.0","","-16.1","","52","","","","30","","36","","24.1","","99.15","","","","-18","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 17:00","2025","03","01","17:00","","-8.3","","-16.0","","54","","","","31","","31","","24.1","","99.28","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 18:00","2025","03","01","18:00","","-9.2","","-17.7","","51","","","","30","","37","","24.1","","99.41","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 19:00","2025","03","01","19:00","","-9.8","","-17.0","","56","","","","31","","35","","24.1","","99.55","","","","-20","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 20:00","2025","03","01","20:00","","-10.5","","-16.9","","59","","","","30","","22","","24.1","","99.61","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 21:00","2025","03","01","21:00","","-10.7","","-16.3","","63","","","","30","","26","","24.1","","99.65","","","","-20","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 22:00","2025","03","01","22:00","","-11.0","","-16.7","","63","","","","29","","26","","24.1","","99.69","","","","-20","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-01 23:00","2025","03","01","23:00","","-11.1","","-17.1","","62","","","","30","","22","","24.1","","99.71","","","","-20","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 00:00","2025","03","02","00:00","","-11.1","","-17.4","","60","","","","34","","19","","24.1","","99.78","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 01:00","2025","03","02","01:00","","-12.6","","-17.1","","69","","","","36","","22","","24.1","","99.85","","","","-22","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 02:00","2025","03","02","02:00","","-14.1","","-19.9","","62","","","","36","","21","","24.1","","99.96","","","","-23","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 03:00","2025","03","02","03:00","","-14.9","","-22.0","","55","","","","35","","26","","24.1","","99.99","","","","-25","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 04:00","2025","03","02","04:00","","-15.5","","-22.1","","57","","","","34","","18","","24.1","","99.99","","","","-24","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 05:00","2025","03","02","05:00","","-15.8","","-22.5","","57","","","","34","","12","","24.1","","100.07","","","","-23","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 06:00","2025","03","02","06:00","","-15.5","","-22.2","","57","","","","33","","12","","24.1","","100.14","","","","-23","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 07:00","2025","03","02","07:00","","-15.3","","-22.3","","56","","","","32","","9","","24.1","","100.23","","","","-21","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 08:00","2025","03","02","08:00","","-14.7","","-21.7","","56","","","","24","","9","","24.1","","100.25","","","","-20","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 09:00","2025","03","02","09:00","","-13.6","","-20.6","","56","","","","23","","10","","24.1","","100.27","","","","-20","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 10:00","2025","03","02","10:00","","-12.2","","-18.7","","59","","","","25","","9","","24.1","","100.28","","","","-17","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 11:00","2025","03","02","11:00","","-10.6","","-17.1","","59","","","","22","","10","","24.1","","100.23","","","","-16","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 12:00","2025","03","02","12:00","","-8.6","","-14.7","","62","","","","26","","18","","24.1","","100.22","","","","-16","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 13:00","2025","03","02","13:00","","-7.5","","-13.7","","61","","","","23","","15","","24.1","","100.16","","","","-14","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 14:00","2025","03","02","14:00","","-6.1","","-11.8","","64","","","","25","","21","","24.1","","100.10","","","","-13","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 15:00","2025","03","02","15:00","","-5.6","","-12.4","","59","","","","26","","20","","24.1","","100.07","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 16:00","2025","03","02","16:00","","-5.3","","-12.0","","60","","","","27","","20","","24.1","","100.04","","","","-12","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 17:00","2025","03","02","17:00","","-5.2","","-12.5","","57","","","","28","","17","","24.1","","100.05","","","","-11","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 18:00","2025","03","02","18:00","","-5.4","","-11.1","","64","","","","27","","19","","24.1","","100.08","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 19:00","2025","03","02","19:00","","-5.6","","-9.6","","74","","","","26","","13","","24.1","","100.11","","","","-11","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 20:00","2025","03","02","20:00","","-5.9","","-9.7","","74","","","","27","","16","","24.1","","100.12","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 21:00","2025","03","02","21:00","","-5.9","","-9.9","","74","","","","26","","12","","24.1","","100.15","","","","-11","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 22:00","2025","03","02","22:00","","-5.9","","-9.8","","74","","","","28","","13","","24.1","","100.19","","","","-11","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-02 23:00","2025","03","02","23:00","","-6.4","","-10.0","","76","","","","26","","12","","24.1","","100.18","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-03 00:00","2025","03","03","00:00","","-8.1","","-11.1","","79","","","","25","","10","","24.1","","100.16","","","","-13","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-03 01:00","2025","03","03","01:00","","-8.0","","-11.5","","76","","","","25","","9","","24.1","","100.19","","","","-13","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-03 02:00","2025","03","03","02:00","","-7.3","","-11.4","","73","","","","25","","9","","24.1","","100.19","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-03 03:00","2025","03","03","03:00","","-7.3","","-11.7","","71","","","","27","","13","","24.1","","100.20","","","","-13","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-03 04:00","2025","03","03","04:00","","-7.0","","-11.4","","71","","","","25","","10","","24.1","","100.18","","","","-12","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-03-03 05:00","2025","03","03","05:00","","-7.0","","-11.0","","73","","","","25","","8","","24.1","","100.18","","","","-11","","NA"
