"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 00:00","2023","08","01","00:00","","15.6","","8.8","","63","","","","35","","13","","24.1","","99.99","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 01:00","2023","08","01","01:00","","15.1","","9.2","","68","","","","35","","12","","24.1","","99.99","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 02:00","2023","08","01","02:00","","14.8","","9.3","","69","","","","34","","10","","24.1","","100.00","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 03:00","2023","08","01","03:00","","14.7","","9.0","","69","","","","34","","11","","24.1","","100.03","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 04:00","2023","08","01","04:00","","14.5","","9.1","","70","","","","35","","9","","24.1","","100.07","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 05:00","2023","08","01","05:00","","14.5","","9.2","","70","","","","33","","8","","24.1","","100.12","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 06:00","2023","08","01","06:00","","14.1","","9.7","","75","","","","30","","9","","24.1","","100.18","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 07:00","2023","08","01","07:00","","16.4","","10.4","","67","","","","34","","10","","24.1","","100.23","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 08:00","2023","08","01","08:00","","18.8","","10.5","","58","","","","2","","8","","24.1","","100.26","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 09:00","2023","08","01","09:00","","20.4","","11.0","","54","","","","1","","7","","24.1","","100.25","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 10:00","2023","08","01","10:00","","21.3","","9.4","","46","","","","33","","5","","24.1","","100.28","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 11:00","2023","08","01","11:00","","22.9","","9.4","","42","","","","2","","15","","24.1","","100.27","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 12:00","2023","08","01","12:00","","23.2","","9.7","","42","","","","2","","10","","24.1","","100.19","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 13:00","2023","08","01","13:00","","22.8","","7.8","","38","","","","7","","9","","24.1","","100.17","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 14:00","2023","08","01","14:00","","23.1","","10.7","","45","","","","16","","17","","24.1","","100.15","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 15:00","2023","08","01","15:00","","22.2","","10.2","","46","","","","14","","15","","24.1","","100.17","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 16:00","2023","08","01","16:00","","23.0","","11.0","","46","","","","17","","13","","24.1","","100.12","","25","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 17:00","2023","08","01","17:00","","22.3","","11.7","","50","","","","14","","16","","24.1","","100.10","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 18:00","2023","08","01","18:00","","21.3","","8.4","","43","","","","2","","16","","24.1","","100.14","","","","","","Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 19:00","2023","08","01","19:00","","21.0","","8.4","","44","","","","5","","5","","24.1","","100.12","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 20:00","2023","08","01","20:00","","21.1","","8.0","","43","","","","13","","5","","24.1","","100.15","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 21:00","2023","08","01","21:00","","20.8","","7.6","","42","","","","15","","4","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 22:00","2023","08","01","22:00","","20.0","","9.9","","52","","","","17","","4","","24.1","","100.19","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-01 23:00","2023","08","01","23:00","","19.9","","10.8","","56","","","","22","","4","","24.1","","100.18","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 00:00","2023","08","02","00:00","","18.8","","11.0","","60","","","","31","","4","","24.1","","100.18","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 01:00","2023","08","02","01:00","","17.3","","11.9","","70","","","","31","","8","","24.1","","100.18","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 02:00","2023","08","02","02:00","","16.5","","11.5","","72","","","","1","","7","","24.1","","100.17","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 03:00","2023","08","02","03:00","","15.8","","11.3","","74","","","","21","","4","","24.1","","100.14","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 04:00","2023","08","02","04:00","","15.9","","12.0","","77","","","","31","","6","","24.1","","100.17","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 05:00","2023","08","02","05:00","","15.8","","12.5","","81","","","","34","","6","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 06:00","2023","08","02","06:00","","17.1","","12.7","","75","","","","","","0","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 07:00","2023","08","02","07:00","","17.8","","12.9","","73","","","","","","0","","24.1","","100.17","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 08:00","2023","08","02","08:00","","20.2","","12.1","","59","","","","23","","3","","24.1","","100.17","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 09:00","2023","08","02","09:00","","19.9","","13.1","","64","","","","18","","8","","24.1","","100.16","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 10:00","2023","08","02","10:00","","20.9","","13.5","","62","","","","19","","10","","24.1","","100.17","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 11:00","2023","08","02","11:00","","21.8","","13.7","","60","","","","19","","8","","24.1","","100.14","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 12:00","2023","08","02","12:00","","22.6","","15.7","","64","","","","15","","12","","24.1","","100.11","","27","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 13:00","2023","08","02","13:00","","23.6","","15.3","","59","","","","14","","18","","24.1","","100.04","","28","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 14:00","2023","08","02","14:00","","23.2","","14.8","","59","","","","14","","17","","24.1","","99.96","","27","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 15:00","2023","08","02","15:00","","23.7","","14.8","","57","","","","15","","19","","24.1","","99.90","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 16:00","2023","08","02","16:00","","24.1","","15.4","","58","","","","15","","15","","24.1","","99.84","","28","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 17:00","2023","08","02","17:00","","24.2","","16.5","","61","","","","17","","13","","24.1","","99.76","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 18:00","2023","08","02","18:00","","24.5","","16.2","","59","","","","18","","19","","24.1","","99.74","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 19:00","2023","08","02","19:00","","23.4","","16.2","","64","","","","19","","10","","24.1","","99.71","","28","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 20:00","2023","08","02","20:00","","22.7","","16.5","","68","","","","19","","8","","24.1","","99.67","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 21:00","2023","08","02","21:00","","22.5","","16.6","","69","","","","21","","12","","24.1","","99.69","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 22:00","2023","08","02","22:00","","22.2","","16.4","","69","","","","21","","16","","24.1","","99.66","","27","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-02 23:00","2023","08","02","23:00","","21.9","","16.3","","70","","","","22","","18","","24.1","","99.62","","27","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 00:00","2023","08","03","00:00","","21.2","","16.6","","75","","","","23","","10","","24.1","","99.60","","26","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 01:00","2023","08","03","01:00","","20.2","","14.7","","70","","","","23","","17","","24.1","","99.55","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 02:00","2023","08","03","02:00","","19.8","","14.7","","72","","","","21","","14","","24.1","","99.48","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 03:00","2023","08","03","03:00","","19.4","","16.0","","81","","","","21","","9","","24.1","","99.47","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 04:00","2023","08","03","04:00","","18.9","","18.1","","95","","","","20","","9","","24.1","","99.47","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 05:00","2023","08","03","05:00","","19.8","","18.5","","92","","","","21","","10","","19.3","","99.44","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 06:00","2023","08","03","06:00","","19.9","","18.5","","92","","","","20","","8","","19.3","","99.47","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 07:00","2023","08","03","07:00","","20.2","","18.8","","92","","","","18","","8","","24.1","","99.46","","27","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 08:00","2023","08","03","08:00","","22.5","","18.9","","80","","","","24","","16","","16.1","","99.41","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 09:00","2023","08","03","09:00","","24.4","","19.9","","76","","","","25","","16","","19.3","","99.36","","32","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 10:00","2023","08","03","10:00","","25.9","","19.4","","67","","","","25","","15","","19.3","","99.31","","33","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 11:00","2023","08","03","11:00","","27.1","","18.8","","60","","","","24","","19","","19.3","","99.28","","34","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 12:00","2023","08","03","12:00","","27.9","","18.0","","54","","","","23","","23","","24.1","","99.23","","34","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 13:00","2023","08","03","13:00","","27.8","","17.7","","53","","","","22","","22","","24.1","","99.18","","34","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 14:00","2023","08","03","14:00","","28.5","","17.9","","52","","","","21","","17","","24.1","","99.16","","34","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 15:00","2023","08","03","15:00","","29.1","","18.4","","52","","","","25","","24","","24.1","","99.11","","35","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 16:00","2023","08","03","16:00","","28.1","","17.1","","51","","","","23","","30","","24.1","","99.02","","33","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 17:00","2023","08","03","17:00","","28.2","","17.6","","52","","","","25","","24","","24.1","","98.99","","34","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 18:00","2023","08","03","18:00","","27.5","","17.9","","55","","","","22","","25","","24.1","","98.94","","33","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 19:00","2023","08","03","19:00","","26.2","","18.2","","61","","","","22","","20","","24.1","","98.95","","32","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 20:00","2023","08","03","20:00","","25.5","","18.0","","63","","","","22","","22","","19.3","","98.99","","32","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 21:00","2023","08","03","21:00","","19.2","","17.0","","87","","","","6","","17","","16.1","","99.13","","","","","","Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 22:00","2023","08","03","22:00","","19.2","","17.4","","89","","","","21","","9","","12.9","","99.11","","","","","","Thunderstorms,Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-03 23:00","2023","08","03","23:00","","19.2","","18.1","","93","","","","23","","10","","16.1","","99.08","","","","","","Thunderstorms,Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 00:00","2023","08","04","00:00","","18.7","","18.6","","99","","","","15","","10","","24.1","","99.03","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 01:00","2023","08","04","01:00","","18.4","","17.9","","97","","","","21","","11","","24.1","","99.03","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 02:00","2023","08","04","02:00","","17.9","","17.3","","96","","","","24","","5","","24.1","","98.94","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 03:00","2023","08","04","03:00","","17.4","","17.3","","99","","","","26","","11","","24.1","","98.95","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 04:00","2023","08","04","04:00","","17.5","","17.1","","98","","","","26","","11","","24.1","","98.92","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 05:00","2023","08","04","05:00","","17.0","","16.6","","98","","","","28","","8","","24.1","","98.97","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 06:00","2023","08","04","06:00","","18.1","","16.1","","88","","","","31","","7","","24.1","","98.99","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 07:00","2023","08","04","07:00","","19.4","","16.4","","83","","","","33","","15","","24.1","","99.04","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 08:00","2023","08","04","08:00","","20.0","","17.1","","83","","","","33","","22","","24.1","","99.09","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 09:00","2023","08","04","09:00","","21.4","","16.9","","75","","","","32","","23","","24.1","","99.11","","27","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 10:00","2023","08","04","10:00","","22.6","","17.3","","71","","","","35","","20","","24.1","","99.19","","28","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 11:00","2023","08","04","11:00","","23.9","","17.3","","66","","","","31","","18","","24.1","","99.19","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 12:00","2023","08","04","12:00","","25.2","","17.3","","61","","","","30","","11","","24.1","","99.20","","31","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 13:00","2023","08","04","13:00","","25.6","","15.4","","53","","","","34","","15","","24.1","","99.20","","30","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 14:00","2023","08","04","14:00","","26.6","","16.8","","54","","","","31","","19","","24.1","","99.20","","32","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 15:00","2023","08","04","15:00","","26.7","","15.4","","49","","","","34","","23","","24.1","","99.18","","31","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 16:00","2023","08","04","16:00","","26.5","","15.9","","52","","","","36","","25","","24.1","","99.18","","31","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 17:00","2023","08","04","17:00","","25.8","","17.0","","58","","","","36","","21","","24.1","","99.25","","31","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 18:00","2023","08","04","18:00","","24.3","","15.3","","57","","","","35","","32","","24.1","","99.30","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 19:00","2023","08","04","19:00","","22.8","","16.0","","65","","","","35","","23","","24.1","","99.37","","27","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 20:00","2023","08","04","20:00","","21.7","","16.2","","70","","","","35","","23","","24.1","","99.40","","26","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 21:00","2023","08","04","21:00","","21.0","","16.3","","74","","","","33","","22","","24.1","","99.48","","26","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 22:00","2023","08","04","22:00","","20.4","","16.3","","77","","","","34","","23","","24.1","","99.49","","25","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-04 23:00","2023","08","04","23:00","","19.8","","16.3","","80","","","","35","","22","","24.1","","99.49","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 00:00","2023","08","05","00:00","","19.2","","16.4","","84","","","","35","","18","","24.1","","99.53","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 01:00","2023","08","05","01:00","","18.8","","16.5","","86","","","","35","","18","","19.3","","99.55","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 02:00","2023","08","05","02:00","","18.2","","16.0","","86","","","","36","","14","","19.3","","99.57","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 03:00","2023","08","05","03:00","","18.4","","14.7","","79","","","","35","","12","","24.1","","99.65","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 04:00","2023","08","05","04:00","","17.5","","14.5","","82","","","","36","","10","","24.1","","99.64","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 05:00","2023","08","05","05:00","","17.9","","14.6","","81","","","","33","","11","","24.1","","99.70","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 06:00","2023","08","05","06:00","","17.5","","14.7","","83","","","","36","","16","","20.9","","99.75","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 07:00","2023","08","05","07:00","","18.1","","14.2","","78","","","","1","","18","","24.1","","99.77","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 08:00","2023","08","05","08:00","","19.7","","14.2","","70","","","","1","","16","","24.1","","99.81","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 09:00","2023","08","05","09:00","","20.2","","14.1","","67","","","","1","","13","","24.1","","99.83","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 10:00","2023","08","05","10:00","","21.8","","13.1","","57","","","","3","","17","","24.1","","99.80","","25","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 11:00","2023","08","05","11:00","","22.8","","12.3","","51","","","","1","","14","","24.1","","99.80","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 12:00","2023","08","05","12:00","","23.1","","12.3","","50","","","","35","","11","","24.1","","99.79","","26","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 13:00","2023","08","05","13:00","","24.4","","12.7","","47","","","","36","","14","","24.1","","99.74","","27","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 14:00","2023","08","05","14:00","","23.8","","9.3","","39","","","","36","","15","","24.1","","99.76","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 15:00","2023","08","05","15:00","","24.0","","9.5","","39","","","","36","","9","","24.1","","99.73","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 16:00","2023","08","05","16:00","","23.2","","14.5","","57","","","","16","","13","","24.1","","99.70","","27","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 17:00","2023","08","05","17:00","","22.8","","12.5","","52","","","","16","","15","","24.1","","99.71","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 18:00","2023","08","05","18:00","","22.5","","11.8","","50","","","","15","","15","","24.1","","99.70","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 19:00","2023","08","05","19:00","","21.8","","11.3","","51","","","","16","","8","","24.1","","99.71","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 20:00","2023","08","05","20:00","","21.1","","11.4","","53","","","","15","","5","","24.1","","99.70","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 21:00","2023","08","05","21:00","","20.6","","10.7","","53","","","","","","0","","24.1","","99.71","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 22:00","2023","08","05","22:00","","20.1","","11.1","","56","","","","7","","3","","24.1","","99.70","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-05 23:00","2023","08","05","23:00","","18.4","","12.6","","68","","","","1","","10","","24.1","","99.69","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-06 00:00","2023","08","06","00:00","","17.7","","12.8","","73","","","","1","","8","","24.1","","99.68","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-06 01:00","2023","08","06","01:00","","17.1","","13.0","","77","","","","","","0","","24.1","","99.71","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-06 02:00","2023","08","06","02:00","","16.1","","12.7","","80","","","","35","","5","","24.1","","99.71","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-06 03:00","2023","08","06","03:00","","15.7","","12.9","","83","","","","33","","7","","24.1","","99.70","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-08-06 04:00","2023","08","06","04:00","","15.5","","12.8","","84","","","","33","","8","","24.1","","99.67","","","","","","Clear"
