"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 00:00","2025","10","01","00:00","","14.6","","2.2","","43","","","","6","","14","","24.1","","100.43","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 01:00","2025","10","01","01:00","","13.6","","2.1","","46","","","","6","","10","","24.1","","100.45","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 02:00","2025","10","01","02:00","","12.9","","1.6","","46","","","","6","","13","","24.1","","100.48","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 03:00","2025","10","01","03:00","","10.9","","2.3","","55","","","","3","","10","","24.1","","100.51","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 04:00","2025","10","01","04:00","","10.1","","2.4","","58","","","","4","","14","","24.1","","100.53","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 05:00","2025","10","01","05:00","","9.6","","2.4","","61","","","","3","","11","","24.1","","100.56","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 06:00","2025","10","01","06:00","","8.8","","2.8","","66","","","","3","","10","","24.1","","100.60","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 07:00","2025","10","01","07:00","","9.5","","3.7","","67","","","","3","","11","","24.1","","100.63","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 08:00","2025","10","01","08:00","","11.7","","4.3","","60","","","","4","","11","","24.1","","100.67","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 09:00","2025","10","01","09:00","","13.4","","5.2","","57","","","","6","","15","","24.1","","100.71","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 10:00","2025","10","01","10:00","","14.6","","6.4","","57","","","","7","","10","","24.1","","100.74","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 11:00","2025","10","01","11:00","","15.6","","6.5","","54","","","","11","","14","","24.1","","100.73","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 12:00","2025","10","01","12:00","","16.7","","6.3","","50","","","","10","","12","","24.1","","100.71","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-10-01 13:00","2025","10","01","13:00","","17.1","","8.7","","57","","","","8","","7","","24.1","","100.66","","","","","","Mainly Clear"
