"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 00:00","2025","11","01","00:00","","5.1","","1.0","","75","","","","28","","21","","24.1","","98.76","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 01:00","2025","11","01","01:00","","3.4","","1.0","","84","","","","26","","11","","24.1","","98.81","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 02:00","2025","11","01","02:00","","4.8","","1.4","","79","","","","27","","18","","24.1","","98.87","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 03:00","2025","11","01","03:00","","5.3","","1.7","","78","","","","25","","18","","24.1","","98.90","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 04:00","2025","11","01","04:00","","5.3","","1.5","","77","","","","27","","15","","24.1","","98.97","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 05:00","2025","11","01","05:00","","5.0","","1.2","","77","","","","28","","17","","24.1","","99.05","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 06:00","2025","11","01","06:00","","4.0","","0.9","","80","","","","27","","13","","24.1","","99.16","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 07:00","2025","11","01","07:00","","4.5","","1.4","","80","","","","28","","12","","24.1","","99.24","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 08:00","2025","11","01","08:00","","5.3","","2.1","","80","","","","26","","9","","24.1","","99.33","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 09:00","2025","11","01","09:00","","6.8","","1.9","","71","","","","30","","15","","24.1","","99.40","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 10:00","2025","11","01","10:00","","7.3","","1.3","","66","","","","31","","11","","24.1","","99.47","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 11:00","2025","11","01","11:00","","7.5","","1.4","","65","","","","1","","8","","24.1","","99.50","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 12:00","2025","11","01","12:00","","8.5","","0.1","","55","","","","30","","15","","24.1","","99.49","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 13:00","2025","11","01","13:00","","9.0","","0.8","","57","","","","30","","12","","24.1","","99.50","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 14:00","2025","11","01","14:00","","9.3","","1.0","","56","","","","28","","13","","24.1","","99.51","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 15:00","2025","11","01","15:00","","9.7","","0.7","","54","","","","29","","20","","24.1","","99.56","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 16:00","2025","11","01","16:00","","8.9","","-0.1","","53","","","","31","","19","","24.1","","99.60","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 17:00","2025","11","01","17:00","","8.2","","-0.4","","55","","","","32","","16","","24.1","","99.67","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 18:00","2025","11","01","18:00","","6.2","","1.2","","70","","","","1","","18","","24.1","","99.72","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 19:00","2025","11","01","19:00","","5.0","","1.1","","76","","","","1","","10","","24.1","","99.82","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 20:00","2025","11","01","20:00","","4.5","","1.1","","78","","","","1","","15","","24.1","","99.85","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 21:00","2025","11","01","21:00","","4.2","","0.5","","77","","","","1","","7","","24.1","","99.94","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 22:00","2025","11","01","22:00","","3.8","","0.7","","80","","","","36","","3","","24.1","","99.98","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-01 23:00","2025","11","01","23:00","","3.2","","0.4","","82","","","","32","","5","","24.1","","100.02","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-02 00:00","2025","11","02","00:00","","3.5","","0.7","","82","","","","36","","4","","24.1","","100.05","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-02 01:00","2025","11","02","01:00","","1.1","","-0.4","","89","","","","28","","6","","24.1","","100.07","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-02 02:00","2025","11","02","02:00","","1.0","","-0.8","","88","","","","","","0","","24.1","","100.10","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-02 03:00","2025","11","02","03:00","","1.1","","-1.2","","85","","","","28","","7","","24.1","","100.15","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-11-02 04:00","2025","11","02","04:00","","0.7","","-2.0","","82","","","","33","","7","","24.1","","100.18","","","","","","Clear"
