"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 00:00","2025","08","01","00:00","","18.8","","11.6","","63","","","","3","","7","","24.1","","100.33","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 01:00","2025","08","01","01:00","","17.1","","11.7","","70","","","","34","","7","","24.1","","100.34","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 02:00","2025","08","01","02:00","","16.2","","11.8","","75","","","","36","","14","","24.1","","100.32","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 03:00","2025","08","01","03:00","","15.8","","11.5","","76","","","","1","","9","","24.1","","100.35","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 04:00","2025","08","01","04:00","","16.4","","10.1","","66","","","","5","","7","","24.1","","100.38","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 05:00","2025","08","01","05:00","","15.7","","8.7","","63","","","","4","","11","","24.1","","100.42","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 06:00","2025","08","01","06:00","","16.2","","8.3","","59","","","","3","","11","","24.1","","100.48","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 07:00","2025","08","01","07:00","","17.2","","10.2","","63","","","","33","","9","","24.1","","100.51","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 08:00","2025","08","01","08:00","","19.1","","10.0","","55","","","","36","","12","","24.1","","100.54","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2025-08-01 09:00","2025","08","01","09:00","","20.9","","8.9","","46","","","","1","","11","","24.1","","100.57","","","","","","NA"
