"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 00:00","2023","05","01","00:00","","6.7","","5.8","","94","","","","28","","13","","24.1","","97.04","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 01:00","2023","05","01","01:00","","6.7","","5.2","","90","","","","30","","12","","24.1","","96.94","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 02:00","2023","05","01","02:00","","6.0","","5.7","","98","","","","26","","15","","24.1","","96.83","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 03:00","2023","05","01","03:00","","5.8","","5.5","","99","","","","26","","14","","24.1","","96.80","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 04:00","2023","05","01","04:00","","5.4","","5.4","","100","","","","25","","14","","24.1","","96.77","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 05:00","2023","05","01","05:00","","4.7","","4.5","","98","","","","26","","10","","24.1","","96.71","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 06:00","2023","05","01","06:00","","5.4","","4.7","","95","","","","22","","9","","24.1","","96.69","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 07:00","2023","05","01","07:00","","6.4","","5.5","","94","","","","25","","23","","24.1","","96.70","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 08:00","2023","05","01","08:00","","7.5","","5.9","","90","","","","26","","20","","24.1","","96.65","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 09:00","2023","05","01","09:00","","8.4","","6.3","","87","","","","24","","21","","24.1","","96.61","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 10:00","2023","05","01","10:00","","8.2","","5.7","","84","","","","22","","18","","24.1","","96.63","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 11:00","2023","05","01","11:00","","8.9","","5.1","","77","","","","20","","22","","24.1","","96.63","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 12:00","2023","05","01","12:00","","9.7","","4.9","","72","","","","21","","18","","24.1","","96.63","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 13:00","2023","05","01","13:00","","8.3","","3.1","","70","","","","28","","29","","24.1","","96.65","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 14:00","2023","05","01","14:00","","9.3","","4.8","","74","","","","28","","14","","24.1","","96.66","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 15:00","2023","05","01","15:00","","6.5","","6.5","","100","","","","23","","18","","19.3","","96.72","","","","","","Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 16:00","2023","05","01","16:00","","8.4","","4.0","","73","","","","23","","19","","24.1","","96.69","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 17:00","2023","05","01","17:00","","7.0","","4.4","","83","","","","19","","24","","19.3","","96.77","","","","","","Rain Showers"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 18:00","2023","05","01","18:00","","7.5","","4.9","","84","","","","23","","17","","24.1","","96.78","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 19:00","2023","05","01","19:00","","7.5","","4.6","","82","","","","20","","10","","24.1","","96.80","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 20:00","2023","05","01","20:00","","7.3","","3.2","","75","","","","21","","13","","24.1","","96.84","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 21:00","2023","05","01","21:00","","6.4","","5.1","","91","","","","17","","8","","24.1","","96.87","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 22:00","2023","05","01","22:00","","6.6","","3.6","","81","","","","20","","15","","24.1","","96.84","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01 23:00","2023","05","01","23:00","","5.8","","5.8","","100","","","","15","","10","","24.1","","96.80","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 00:00","2023","05","02","00:00","","5.5","","5.5","","100","","","","15","","12","","24.1","","96.79","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 01:00","2023","05","02","01:00","","5.3","","5.3","","100","","","","16","","12","","24.1","","96.77","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 02:00","2023","05","02","02:00","","5.2","","5.2","","100","","","","15","","9","","24.1","","96.75","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 03:00","2023","05","02","03:00","","5.7","","5.7","","100","","","","19","","9","","24.1","","96.76","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 04:00","2023","05","02","04:00","","4.4","","4.4","","100","","","","24","","15","","24.1","","96.84","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 05:00","2023","05","02","05:00","","3.9","","3.3","","96","","","","23","","21","","24.1","","96.90","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 06:00","2023","05","02","06:00","","3.6","","2.8","","95","","","","23","","12","","24.1","","96.97","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 07:00","2023","05","02","07:00","","3.5","","2.0","","90","","","","23","","15","","24.1","","97.04","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02 08:00","2023","05","02","08:00","","4.7","","2.1","","83","","","","28","","11","","24.1","","97.05","","","","","","NA"
