"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 00:00","2023","11","01","00:00","","-0.5","","-3.2","","82","","","","28","","13","","24.1","","99.51","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 01:00","2023","11","01","01:00","","-0.6","","-3.0","","84","","","","35","","7","","24.1","","99.53","","","","-3","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 02:00","2023","11","01","02:00","","-1.8","","-3.5","","88","","","","26","","6","","24.1","","99.53","","","","-4","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 03:00","2023","11","01","03:00","","-1.6","","-3.4","","88","","","","28","","12","","24.1","","99.56","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 04:00","2023","11","01","04:00","","-1.5","","-3.4","","87","","","","31","","9","","24.1","","99.61","","","","-5","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 05:00","2023","11","01","05:00","","-0.9","","-3.3","","84","","","","32","","17","","24.1","","99.67","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 06:00","2023","11","01","06:00","","-0.7","","-4.2","","78","","","","34","","21","","24.1","","99.76","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 07:00","2023","11","01","07:00","","-1.0","","-4.4","","78","","","","33","","25","","24.1","","99.83","","","","-7","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 08:00","2023","11","01","08:00","","-0.1","","-4.1","","74","","","","34","","26","","24.1","","99.96","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 09:00","2023","11","01","09:00","","0.9","","-4.5","","67","","","","33","","30","","24.1","","100.07","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 10:00","2023","11","01","10:00","","2.5","","-4.4","","61","","","","33","","24","","24.1","","100.14","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 11:00","2023","11","01","11:00","","3.4","","-5.5","","53","","","","33","","25","","24.1","","100.18","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 12:00","2023","11","01","12:00","","3.2","","-5.2","","54","","","","32","","21","","24.1","","100.19","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 13:00","2023","11","01","13:00","","3.7","","-4.6","","54","","","","32","","22","","24.1","","100.18","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 14:00","2023","11","01","14:00","","4.4","","-5.8","","48","","","","30","","22","","24.1","","100.19","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 15:00","2023","11","01","15:00","","4.4","","-7.0","","43","","","","31","","22","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 16:00","2023","11","01","16:00","","4.2","","-8.1","","40","","","","30","","28","","24.1","","100.26","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 17:00","2023","11","01","17:00","","2.8","","-7.1","","48","","","","31","","19","","24.1","","100.31","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-11-01 18:00","2023","11","01","18:00","","2.1","","-8.1","","47","","","","31","","20","","24.1","","100.36","","","","","","NA"
